model,run_dir,num_exits,final_exit,label,threshold,support,fixed_precision,fixed_recall,fixed_f1,fixed_pred_pos,tuned_precision,tuned_recall,tuned_f1,tuned_pred_pos,delta_f1,delta_recall,delta_precision
5exit_nohint,C:\Users\wwwsa\PycharmProjects\NeuroAccuExit-ASHADIP\runs_multilabel\multilabel_5exit_nohint_20260509_001254,5,5,rain,0.25,52,0.88,0.4231,0.5714,25,0.8571,0.8077,0.8317,49,0.2603,0.3846,-0.0229
5exit_nohint,C:\Users\wwwsa\PycharmProjects\NeuroAccuExit-ASHADIP\runs_multilabel\multilabel_5exit_nohint_20260509_001254,5,5,road_traffic,0.18,63,0.5,0.1429,0.2222,18,0.4725,0.6825,0.5584,91,0.3362,0.5397,-0.0275
5exit_nohint,C:\Users\wwwsa\PycharmProjects\NeuroAccuExit-ASHADIP\runs_multilabel\multilabel_5exit_nohint_20260509_001254,5,5,scream,0.57,57,0.7971,0.9649,0.873,69,0.806,0.9474,0.871,67,-0.002,-0.0175,0.0089
5exit_nohint,C:\Users\wwwsa\PycharmProjects\NeuroAccuExit-ASHADIP\runs_multilabel\multilabel_5exit_nohint_20260509_001254,5,5,thunderstorm,0.46,49,0.0,0.0,0.0,6,0.2727,0.0612,0.1,11,0.1,0.0612,0.2727
5exit_nohint,C:\Users\wwwsa\PycharmProjects\NeuroAccuExit-ASHADIP\runs_multilabel\multilabel_5exit_nohint_20260509_001254,5,5,wind,0.33,51,0.5625,0.5294,0.5455,48,0.4595,0.6667,0.544,74,-0.0015,0.1373,-0.103
3exit_nohint_posweight,C:\Users\wwwsa\PycharmProjects\NeuroAccuExit-ASHADIP\runs_multilabel\multilabel_3exit_nohint_posweight_20260510_094046,3,3,car_crash,0.61,47,0.5556,0.7447,0.6364,63,0.64,0.6809,0.6598,50,0.0234,-0.0638,0.0844
3exit_nohint_posweight,C:\Users\wwwsa\PycharmProjects\NeuroAccuExit-ASHADIP\runs_multilabel\multilabel_3exit_nohint_posweight_20260510_094046,3,3,conversation,0.47,60,0.9828,0.95,0.9661,58,0.9667,0.9667,0.9667,60,0.0006,0.0167,-0.0161
3exit_nohint_posweight,C:\Users\wwwsa\PycharmProjects\NeuroAccuExit-ASHADIP\runs_multilabel\multilabel_3exit_nohint_posweight_20260510_094046,3,3,engine_idling,0.75,49,0.3889,0.8571,0.535,108,0.5606,0.7551,0.6435,66,0.1084,-0.102,0.1717
3exit_nohint_posweight,C:\Users\wwwsa\PycharmProjects\NeuroAccuExit-ASHADIP\runs_multilabel\multilabel_3exit_nohint_posweight_20260510_094046,3,3,fireworks,0.42,52,0.4375,0.6731,0.5303,80,0.4211,0.7692,0.5442,95,0.0139,0.0962,-0.0164
3exit_nohint_posweight,C:\Users\wwwsa\PycharmProjects\NeuroAccuExit-ASHADIP\runs_multilabel\multilabel_3exit_nohint_posweight_20260510_094046,3,3,gun_shot,0.77,76,0.6522,0.7895,0.7143,92,0.7812,0.6579,0.7143,64,0.0,-0.1316,0.1291
3exit_nohint_posweight,C:\Users\wwwsa\PycharmProjects\NeuroAccuExit-ASHADIP\runs_multilabel\multilabel_3exit_nohint_posweight_20260510_094046,3,3,rain,0.88,52,0.593,0.9808,0.7391,86,0.8269,0.8269,0.8269,52,0.0878,-0.1538,0.2339
3exit_nohint_posweight,C:\Users\wwwsa\PycharmProjects\NeuroAccuExit-ASHADIP\runs_multilabel\multilabel_3exit_nohint_posweight_20260510_094046,3,3,road_traffic,0.63,63,0.4937,0.619,0.5493,79,0.463,0.3968,0.4274,54,-0.1219,-0.2222,-0.0307
3exit_nohint_posweight,C:\Users\wwwsa\PycharmProjects\NeuroAccuExit-ASHADIP\runs_multilabel\multilabel_3exit_nohint_posweight_20260510_094046,3,3,scream,0.51,57,0.8413,0.9298,0.8833,63,0.8413,0.9298,0.8833,63,0.0,0.0,0.0
3exit_nohint_posweight,C:\Users\wwwsa\PycharmProjects\NeuroAccuExit-ASHADIP\runs_multilabel\multilabel_3exit_nohint_posweight_20260510_094046,3,3,thunderstorm,0.47,49,0.28,0.4286,0.3387,75,0.2771,0.4694,0.3485,83,0.0098,0.0408,-0.0029
3exit_nohint_posweight,C:\Users\wwwsa\PycharmProjects\NeuroAccuExit-ASHADIP\runs_multilabel\multilabel_3exit_nohint_posweight_20260510_094046,3,3,wind,0.41,51,0.4235,0.7059,0.5294,85,0.3796,0.8039,0.5157,108,-0.0137,0.098,-0.0439
5exit_nohint_posweight,C:\Users\wwwsa\PycharmProjects\NeuroAccuExit-ASHADIP\runs_multilabel\multilabel_5exit_nohint_posweight_20260510_094350,5,5,car_crash,0.43,47,0.4444,0.766,0.5625,81,0.4138,0.766,0.5373,87,-0.0252,0.0,-0.0307
5exit_nohint_posweight,C:\Users\wwwsa\PycharmProjects\NeuroAccuExit-ASHADIP\runs_multilabel\multilabel_5exit_nohint_posweight_20260510_094350,5,5,conversation,0.45,60,0.9661,0.95,0.958,59,0.9661,0.95,0.958,59,0.0,0.0,0.0
5exit_nohint_posweight,C:\Users\wwwsa\PycharmProjects\NeuroAccuExit-ASHADIP\runs_multilabel\multilabel_5exit_nohint_posweight_20260510_094350,5,5,engine_idling,0.57,49,0.4483,0.7959,0.5735,87,0.5429,0.7755,0.6387,70,0.0651,-0.0204,0.0946
5exit_nohint_posweight,C:\Users\wwwsa\PycharmProjects\NeuroAccuExit-ASHADIP\runs_multilabel\multilabel_5exit_nohint_posweight_20260510_094350,5,5,fireworks,0.64,52,0.2714,0.7308,0.3958,140,0.4156,0.6154,0.4961,77,0.1003,-0.1154,0.1442
5exit_nohint_posweight,C:\Users\wwwsa\PycharmProjects\NeuroAccuExit-ASHADIP\runs_multilabel\multilabel_5exit_nohint_posweight_20260510_094350,5,5,gun_shot,0.74,76,0.6566,0.8553,0.7429,99,0.7606,0.7105,0.7347,71,-0.0082,-0.1447,0.104
5exit_nohint_posweight,C:\Users\wwwsa\PycharmProjects\NeuroAccuExit-ASHADIP\runs_multilabel\multilabel_5exit_nohint_posweight_20260510_094350,5,5,rain,0.46,52,0.8163,0.7692,0.7921,49,0.7843,0.7692,0.7767,51,-0.0154,0.0,-0.032
5exit_nohint_posweight,C:\Users\wwwsa\PycharmProjects\NeuroAccuExit-ASHADIP\runs_multilabel\multilabel_5exit_nohint_posweight_20260510_094350,5,5,road_traffic,0.43,63,0.5088,0.4603,0.4833,57,0.4507,0.5079,0.4776,71,-0.0057,0.0476,-0.0581
5exit_nohint_posweight,C:\Users\wwwsa\PycharmProjects\NeuroAccuExit-ASHADIP\runs_multilabel\multilabel_5exit_nohint_posweight_20260510_094350,5,5,scream,0.65,57,0.7794,0.9298,0.848,68,0.8667,0.9123,0.8889,60,0.0409,-0.0175,0.0873
5exit_nohint_posweight,C:\Users\wwwsa\PycharmProjects\NeuroAccuExit-ASHADIP\runs_multilabel\multilabel_5exit_nohint_posweight_20260510_094350,5,5,thunderstorm,0.57,49,0.2149,0.5306,0.3059,121,0.1837,0.3673,0.2449,98,-0.061,-0.1633,-0.0312
5exit_nohint_posweight,C:\Users\wwwsa\PycharmProjects\NeuroAccuExit-ASHADIP\runs_multilabel\multilabel_5exit_nohint_posweight_20260510_094350,5,5,wind,0.58,51,0.3679,0.7647,0.4968,106,0.3684,0.6863,0.4795,95,-0.0174,-0.0784,0.0005
